#name	label	class	CHG	CpG5	CpG3	maxExpr	nSamples	WGA	allData	noExpr	noMeth	noWGA
Sb10g008050	synteny	high	1	1	0	4	12	0.993894	functional	functional	non	functional
Sb10g008030	synteny	high	1	1	1	2	0	0.981404	functional	functional	non	functional
Sb10g008000	synteny	high	1	1	1	2	0	1	functional	functional	non	functional
Sb10g008020	synteny	high	1	1	1	4	12	1	functional	functional	non	functional
Sb10g007970	synteny	high	1	1	0	2	0	1	non	non	non	non
Sb10g007980	synteny	high	1	1	1	1	0	1	functional	functional	non	functional
Sb10g007956	synteny	high	1	0	0	3	7	1	functional	functional	functional	functional
Sb10g007960	synteny	high	1	1	0	2	0	0.970892	non	non	non	non
Sb10g007950	synteny	high	1	0	1	3	1	0.820805	functional	functional	functional	functional
Sb10g007930	synteny	high	1	1	1	2	0	0.853776	non	non	non	non
Sb10g007900	synteny	high	1	1	1	3	9	1	non	non	non	non
Sb10g007910	synteny	high	1	1	1	3	1	1	non	non	non	non
Sb10g007880	synteny	high	1	1	1	1	0	1	non	non	non	non
Sb10g007850	synteny	high	1	1	0	5	12	1	functional	functional	functional	functional
Sb10g007840	synteny	high	1	0	1	5	12	0.995491	functional	functional	functional	functional
Sb10g007830	synteny	high	1	1	1	4	5	0.994521	functional	functional	functional	functional
Sb10g007810	synteny	high	1	1	1	2	0	1	functional	non	functional	functional
Sb10g007800	synteny	high	1	1	1	3	1	1	functional	functional	functional	functional
Sb10g007790	synteny	high	1	1	1	1	0	1	functional	functional	functional	functional
Sb10g007785	synteny	high	1	1	0	2	0	0.996885	functional	functional	functional	functional
Sb10g007780	synteny	high	1	1	1	3	4	1	non	non	non	non
Sb10g007760	synteny	high	0.971051	1	0.03	5	12	0.763373	functional	functional	functional	functional
Sb10g007770	synteny	high	1	1	1	2	0	1	functional	functional	functional	functional
Sb10g007750	synteny	high	1	1	1	3	5	1	functional	functional	functional	functional
Sb10g007730	synteny	high	1	1	1	5	5	1	functional	functional	functional	functional
Sb10g007710	synteny	high	1	1	1	1	0	0.979332	functional	functional	functional	functional
Sb10g007690	synteny	high	1	0	1	5	7	0.924963	functional	functional	functional	functional
Sb10g007700	synteny	high	1	1	1	2	0	1	functional	functional	functional	functional
Sb10g007670	synteny	high	1	1	1	2	0	1	non	non	non	non
Sb10g007660	synteny	high	1	1	1	1	0	1	functional	functional	functional	functional
Sb10g007650	synteny	high	1	1	1	3	8	1	functional	functional	functional	functional
Sb10g007620	synteny	high	1	1	1	5	12	0.931034	functional	functional	functional	functional
Sb10g007600	synteny	high	1	1	1	3	3	1	functional	functional	functional	functional
Sb10g007590	synteny	high	1	1	1	3	1	0.049545	functional	functional	functional	functional
Sb10g007580	synteny	high	1	1	1	3	2	0.0153374	functional	functional	non	functional
Sb10g007570	synteny	high	1	1	1	2	0	1	functional	functional	functional	functional
Sb10g007565	synteny	high	1	1	1	4	3	0.837249	functional	functional	functional	functional
Sb10g007550	synteny	high	1	1	1	2	0	1	non	non	functional	non
Sb10g007560	synteny	high	1	1	1	2	0	1	non	non	non	non
Sb10g007540	synteny	high	1	1	0	2	0	1	non	functional	functional	non
Sb10g007520	synteny	high	1	1	1	4	9	1	functional	functional	functional	functional
Sb10g007490	synteny	high	1	1	1	2	0	1	functional	functional	functional	functional
Sb10g007470	synteny	high	1	0.9	0.93	4	8	1	functional	functional	functional	functional
Sb10g007480	synteny	high	1	1	1	3	1	1	functional	functional	non	functional
Sb10g007450	synteny	high	1	1	0	2	0	1	functional	functional	functional	functional
Sb10g007460	synteny	high	1	1	1	1	0	1	non	non	non	non
Sb10g007430	synteny	high	1	1	1	5	9	1	functional	functional	functional	functional
Sb10g007410	synteny	high	1	1	1	4	7	1	functional	functional	non	functional
Sb10g007380	synteny	high	1	1	1	5	2	0.968717	functional	functional	functional	functional
Sb10g007370	synteny	high	1	0.01	1	3	2	0.914936	functional	functional	functional	functional
Sb10g007360	synteny	high	1	1	1	4	9	1	functional	functional	functional	functional
Sb10g007350	synteny	high	1	1	1	1	0	0.779228	functional	functional	functional	functional
Sb10g007330	synteny	high	1	1	0	2	0	0.987747	functional	functional	functional	functional
Sb10g007320	synteny	high	1	1	1	2	0	1	functional	functional	functional	functional
Sb10g007310	synteny	high	1	1	0.88	1	0	0.998369	functional	functional	functional	functional
Sb10g007305	synteny	high	0	0	0	1	0	0	non	non	non	non
Sb10g007296	synteny	high	0.889764	1	0.6	1	0	0.708661	functional	functional	non	functional
Sb10g007300	synteny	high	1	1	1	4	4	1	functional	non	functional	functional
Sb10g007290	synteny	high	1	1	1	1	0	0	functional	functional	non	functional
Sb10g007280	synteny	high	1	1	0.91	3	4	0.922845	functional	functional	functional	functional
Sb10g007270	synteny	high	0.943007	1	0.52	4	7	1	functional	functional	functional	functional
Sb10g007260	synteny	high	1	0.35	0.43	4	12	1	functional	functional	functional	functional
Sb10g007240	synteny	high	1	1	1	2	0	1	functional	functional	functional	functional
Sb10g007230	synteny	high	1	1	1	3	6	1	functional	functional	functional	functional
Sb10g007226	synteny	high	1	1	1	3	4	1	functional	functional	functional	functional
Sb10g007228	synteny	high	1	1	1	4	5	1	functional	functional	functional	functional
Sb10g007222	synteny	high	1	1	1	2	0	0.91344	functional	functional	functional	functional
Sb10g007224	synteny	high	1	1	1	1	0	0	functional	functional	functional	functional
Sb10g007210	synteny	high	1	1	0	4	6	0.964185	non	non	non	non
Sb10g007190	synteny	high	1	0.45	1	4	7	1	functional	functional	non	functional
Sb10g007170	synteny	high	1	1	1	3	6	1	functional	functional	functional	functional
Sb10g007160	synteny	high	1	1	1	3	1	1	functional	functional	non	functional
Sb10g007165	synteny	high	1	1	1	5	4	1	non	non	non	non
Sb10g007150	synteny	high	1	1	1	2	0	1	non	non	non	functional
Sb10g007135	synteny	high	1	1	1	1	0	0.99278	functional	functional	functional	functional
Sb10g007140	synteny	high	1	1	1	3	1	1	functional	functional	functional	functional
Sb10g007120	synteny	high	1	1	0.55	2	0	1	functional	functional	functional	functional
Sb10g007130	synteny	high	1	1	0.43	1	0	0.86634	functional	functional	functional	functional
Sb10g007110	synteny	high	1	1	1	2	0	0.988118	functional	functional	functional	functional
Sb10g007090	synteny	high	1	1	0	5	5	1	functional	functional	functional	functional
Sb10g007060	synteny	high	1	1	1	2	0	1	non	non	non	non
Sb10g007000	synteny	high	1	1	0.69	1	0	1	functional	functional	functional	functional
Sb10g007010	synteny	high	1	0.85	1	4	10	0.815009	functional	functional	non	functional
Sb10g007020	synteny	high	1	1	1	2	0	0.934286	functional	functional	functional	functional
Sb10g006980	synteny	high	1	1	1	2	0	1	functional	functional	functional	functional
Sb10g006960	synteny	high	1	1	1	5	12	0.993783	functional	functional	functional	functional
Sb10g006950	synteny	high	1	1	1	3	3	1	functional	functional	functional	functional
Sb10g006920	synteny	high	1	1	0	3	2	1	functional	functional	non	functional
Sb10g006890	synteny	high	1	0	0	5	12	1	functional	functional	functional	functional
Sb10g006900	synteny	high	1	1	1	2	0	0.949045	functional	functional	functional	functional
Sb10g006860	synteny	high	1	1	1	5	7	1	non	non	non	non
Sb10g006870	synteny	high	1	1	1	2	0	1	non	non	functional	non
Sb10g006850	synteny	high	1	1	1	5	11	1	functional	functional	non	functional
Sb10g006840	synteny	high	1	1	1	4	12	1	non	non	non	non
Sb10g006830	synteny	high	1	1	1	2	0	1	functional	functional	functional	functional
Sb10g006820	synteny	high	1	1	1	2	0	1	non	non	non	non
Sb10g006810	synteny	high	1	1	1	2	0	1	functional	functional	functional	functional
Sb10g006790	synteny	high	1	1	1	3	1	0.931429	functional	functional	non	functional
Sb10g006800	synteny	high	1	1	0	3	11	1	functional	functional	non	functional
Sb10g006780	synteny	high	1	1	1	4	6	0.918375	functional	functional	non	functional
Sb10g006766	synteny	high	1	0	0.1	1	0	1	functional	functional	functional	functional
Sb10g006770	synteny	high	1	1	1	2	0	0.967213	functional	functional	non	functional
Sb10g006740	synteny	high	1	1	0	5	12	1	functional	functional	functional	functional
Sb10g006750	synteny	high	1	1	1	5	12	0.998681	non	non	non	non
Sb10g006760	synteny	high	1	1	1	1	0	1	non	non	non	non
Sb10g006710	synteny	high	1	1	1	4	3	1	functional	non	functional	functional
Sb10g006735	synteny	high	0.364055	0	1	1	0	0.236998	non	non	non	non
Sb10g006700	synteny	high	1	1	1	3	1	0	functional	functional	non	functional
Sb10g006680	synteny	high	1	1	1	4	9	1	non	non	non	non
Sb10g006690	synteny	high	1	1	1	4	2	1	non	non	non	non
Sb10g006670	synteny	high	1	1	1	5	6	1	non	non	non	non
Sb10g006660	synteny	high	1	1	1	2	0	1	functional	functional	functional	functional
Sb10g006640	synteny	high	1	0	1	5	3	1	functional	functional	functional	functional
Sb10g006630	synteny	high	1	1	1	4	4	0.991721	functional	functional	functional	functional
Sb10g006590	synteny	high	1	1	1	1	0	0.500741	functional	functional	functional	functional
Sb10g006580	synteny	high	1	1	1	2	0	1	functional	functional	non	functional
Sb10g006560	synteny	high	1	1	1	3	8	1	functional	functional	non	functional
Sb10g006540	synteny	high	1	1	1	3	2	1	functional	functional	functional	functional
Sb10g006550	synteny	high	1	1	1	3	1	1	functional	functional	functional	functional
Sb10g006520	synteny	high	1	1	0.93	4	12	0.142728	non	non	non	non
Sb10g006530	synteny	high	1	1	1	5	9	1	functional	functional	non	functional
Sb10g006510	synteny	high	1	1	1	3	4	0.987709	functional	functional	functional	non
Sb10g006500	synteny	high	1	1	0	5	12	1	functional	functional	functional	functional
Sb10g006490	synteny	high	1	1	0	2	0	1	non	non	non	non
Sb10g006460	synteny	high	1	1	0	3	8	1	non	non	non	non
Sb10g006470	synteny	high	1	1	1	3	2	1	functional	functional	functional	functional
Sb10g006480	synteny	high	1	1	0.98	3	1	1	functional	functional	functional	functional
Sb10g006450	synteny	high	1	1	1	5	12	0.995545	functional	functional	functional	functional
Sb10g006440	synteny	high	1	1	1	3	1	1	non	non	non	non
Sb10g006430	synteny	high	1	1	1	5	12	1	functional	functional	functional	functional
Sb10g006420	synteny	high	1	1	1	2	0	1	non	non	non	functional
Sb10g006410	synteny	high	1	1	1	5	12	1	functional	functional	functional	functional
Sb10g006400	synteny	high	1	0	0.63	4	12	1	functional	functional	functional	functional
Sb10g006380	synteny	high	1	1	1	5	7	1	functional	functional	functional	functional
Sb10g006390	synteny	high	1	1	1	2	0	1	functional	functional	functional	functional
Sb10g006350	synteny	high	1	1	1	4	4	1	functional	functional	functional	functional
Sb10g006340	synteny	high	1	1	1	4	12	1	functional	functional	functional	functional
Sb10g006330	synteny	high	1	1	1	5	12	0.97727	functional	functional	non	functional
Sb10g006260	synteny	high	1	1	1	5	12	0.974168	functional	functional	functional	functional
Sb10g006250	synteny	high	1	1	1	4	6	1	non	non	non	non
Sb10g006220	synteny	high	1	1	1	5	12	1	functional	functional	functional	functional
Sb10g006230	synteny	high	1	1	1	2	0	1	functional	functional	functional	functional
Sb10g006240	synteny	high	1	1	1	5	5	1	functional	functional	functional	functional
Sb10g006210	synteny	high	1	1	1	3	8	1	functional	functional	functional	functional
Sb10g006200	synteny	high	1	1	1	2	0	1	functional	functional	functional	functional
Sb10g006180	synteny	high	1	1	1	3	1	1	functional	functional	functional	non
Sb10g006140	synteny	high	1	1	1	2	0	0.956913	functional	functional	non	functional
Sb10g006130	synteny	high	1	1	1	4	1	1	non	non	non	non
Sb10g006120	synteny	high	1	1	1	3	3	0.223971	functional	functional	non	functional
Sb10g006110	synteny	high	1	1	1	3	4	0.947875	non	non	functional	non
Sb10g006100	synteny	high	1	1	0.96	1	0	0.995558	non	non	non	non
Sb10g006080	synteny	high	1	1	1	2	0	1	functional	functional	functional	non
Sb10g006090	synteny	high	1	1	1	1	0	1	functional	functional	functional	functional
Sb10g006070	synteny	high	1	0.12	1	2	0	0.971905	functional	functional	functional	functional
Sb10g006050	synteny	high	1	1	1	1	0	0.756128	functional	functional	functional	functional
Sb10g006040	synteny	high	1	1	1	1	0	0	non	non	functional	non
Sb10g006030	synteny	high	0.976214	0	1	1	0	0.976214	functional	functional	functional	functional
Sb10g006010	synteny	high	1	0	1	2	0	0.96944	non	non	non	non
Sb10g006000	synteny	high	1	0	1	2	0	1	functional	functional	functional	functional
Sb10g005990	synteny	high	1	1	1	3	2	1	functional	functional	functional	functional
Sb10g005980	synteny	high	1	1	0	2	0	0.26951	functional	functional	functional	functional
Sb10g005970	synteny	high	1	1	1	2	0	0.976142	non	non	non	non
Sb10g005950	synteny	high	1	1	1	1	0	1	functional	functional	functional	functional
Sb10g005960	synteny	high	1	1	0	5	12	1	functional	functional	functional	functional
Sb10g005920	synteny	high	1	1	0	3	1	1	functional	functional	functional	functional
Sb10g005930	synteny	high	1	1	1	2	0	1	non	non	non	non
Sb10g005915	synteny	high	1	1	0.09	1	0	1	functional	functional	functional	functional
Sb10g005910	synteny	high	1	1	1	3	6	1	functional	functional	non	functional
Sb10g005900	synteny	high	0.955647	1	1	3	2	1	non	non	non	non
Sb10g005890	synteny	high	1	0	1	4	12	1	non	non	functional	non
Sb10g005880	synteny	high	1	1	1	4	7	1	non	non	non	non
Sb10g005870	synteny	high	1	1	1	5	12	0.999489	functional	functional	non	functional
Sb10g005860	synteny	high	1	1	1	1	0	1	functional	functional	functional	functional
Sb10g005850	synteny	high	1	1	0.91	2	0	1	non	non	functional	functional
Sb10g005840	synteny	high	1	1	1	2	0	0.836264	non	non	functional	non
Sb10g005820	synteny	high	1	1	0.13	5	9	0.933809	functional	functional	functional	functional
Sb10g005810	synteny	high	1	1	1	1	0	1	functional	functional	functional	functional
Sb10g005800	synteny	high	1	1	0.65	1	0	1	functional	functional	functional	functional
Sb10g005770	synteny	high	1	1	1	3	1	0.573093	functional	non	functional	functional
Sb10g005780	synteny	high	1	0.15	1	5	4	0.969118	functional	functional	functional	functional
Sb10g005760	synteny	high	1	1	1	3	1	0.40249	functional	non	functional	functional
Sb10g005730	synteny	high	1	1	0.27	5	12	1	functional	functional	functional	functional
Sb10g005740	synteny	high	1	1	1	2	0	0.945856	functional	functional	functional	functional
Sb10g005720	synteny	high	1	0	0	4	2	1	non	functional	non	functional
Sb10g005710	synteny	high	1	1	1	4	2	1	non	non	non	non
Sb10g005690	synteny	high	1	1	1	2	0	1	functional	functional	non	functional
Sb10g005680	synteny	high	1	1	1	5	12	1	functional	non	functional	functional
Sb10g005660	synteny	high	1	0	0	4	3	1	functional	functional	functional	non
Sb10g005670	synteny	high	1	1	1	1	0	1	non	non	non	non
Sb10g005650	synteny	high	1	1	1	2	0	0.855646	functional	functional	non	functional
Sb10g005635	synteny	high	1	1	1	5	11	1	functional	functional	functional	functional
Sb10g005640	synteny	high	1	1	0	3	12	1	functional	functional	non	functional
Sb10g005620	synteny	high	1	1	1	2	0	1	functional	functional	functional	functional
Sb10g005630	synteny	high	1	0	1	5	12	1	non	non	non	non
Sb10g005610	synteny	high	1	1	0.83	1	0	1	functional	functional	functional	functional
Sb10g005590	synteny	high	1	1	1	1	0	1	functional	functional	non	functional
Sb10g005580	synteny	high	1	1	0	3	3	1	non	non	non	non
Sb10g005560	synteny	high	1	1	0.98	2	0	0.885076	functional	functional	functional	non
Sb10g005570	synteny	high	1	0	1	3	5	1	functional	functional	functional	functional
Sb10g005540	synteny	high	1	1	1	2	0	1	non	non	non	non
Sb10g005550	synteny	high	1	0	1	3	1	1	functional	functional	non	functional
Sb10g005530	synteny	high	1	1	1	2	0	1	non	non	non	non
Sb10g005510	synteny	high	1	1	1	5	12	1	non	non	non	non
Sb10g005520	synteny	high	1	1	1	2	0	1	non	non	non	non
Sb10g005500	synteny	high	1	1	1	5	1	1	non	non	non	non
Sb10g005490	synteny	high	1	1	1	2	0	0.673216	non	non	non	non
Sb10g005480	synteny	high	1	0.45	1	4	3	0.882314	non	non	non	non
Sb10g005460	synteny	high	1	1	1	4	6	0.999738	non	non	non	non
Sb10g005440	synteny	high	1	1	1	2	0	1	functional	functional	functional	functional
Sb10g005450	synteny	high	1	1	1	4	7	1	non	non	non	non
Sb10g005410	synteny	high	1	1	1	1	0	1	functional	functional	functional	functional
Sb10g005420	synteny	high	1	1	1	3	7	1	functional	functional	functional	functional
Sb10g005430	synteny	high	1	1	1	2	0	1	non	non	functional	functional
Sb10g005390	synteny	high	1	1	1	2	0	1	functional	functional	functional	non
Sb10g005360	synteny	high	1	1	0	2	0	0	functional	functional	non	functional
Sb10g005330	synteny	high	1	1	1	2	0	1	functional	functional	non	functional
Sb10g005340	synteny	high	1	1	1	5	12	1	functional	functional	functional	functional
Sb10g005260	synteny	high	1	1	1	5	4	1	non	non	functional	non
Sb10g005230	synteny	high	1	1	0.77	2	0	0	functional	functional	non	functional
Sb10g005250	synteny	high	1	1	1	5	12	1	functional	functional	functional	functional
Sb10g005220	synteny	high	1	1	1	4	7	0.0591241	functional	functional	functional	functional
Sb10g005210	synteny	high	1	1	1	2	0	0.923578	functional	functional	functional	functional
Sb10g005185	synteny	high	1	0	0	4	2	0.335135	functional	functional	functional	functional
Sb10g005200	synteny	high	1	1	1	4	1	1	functional	functional	non	functional
Sb10g005180	synteny	high	1	1	0	4	2	0.999142	functional	functional	functional	functional
Sb10g005150	synteny	high	1	1	0.65	1	0	1	non	non	non	non
Sb10g005160	synteny	high	1	1	1	3	10	0.990434	non	non	functional	non
Sb10g005170	synteny	high	1	1	1	4	2	0.851204	functional	functional	non	functional
Sb10g005140	synteny	high	0.88191	1	0	1	0	1	functional	functional	non	functional
Sb10g005125	synteny	high	1	1	1	1	0	0	non	non	non	non
Sb10g005110	synteny	high	1	1	0	5	12	1	non	non	non	non
Sb10g005120	synteny	high	1	1	1	1	0	1	functional	functional	functional	functional
Sb10g005100	synteny	high	1	1	1	3	10	0.975225	functional	functional	functional	non
Sb10g005080	synteny	high	1	1	1	4	9	0.965077	functional	functional	non	functional
Sb10g005090	synteny	high	1	1	1	5	9	1	non	non	non	non
Sb10g005075	synteny	high	1	1	1	2	0	0	non	non	non	non
Sb10g005070	synteny	high	1	1	1	2	0	0	non	non	non	non
Sb10g005066	synteny	high	1	1	1	1	0	0.877946	non	non	functional	non
Sb10g005060	synteny	high	1	1	1	5	12	1	functional	functional	functional	functional
Sb10g005040	synteny	high	1	1	1	5	9	1	non	non	functional	non
Sb10g005050	synteny	high	1	1	0.49	2	0	0.980068	functional	functional	functional	functional
Sb10g005010	synteny	high	1	1	0.46	5	12	0.994315	functional	functional	functional	functional
Sb10g005020	synteny	high	0.430903	0	0	1	0	1	non	non	non	non
Sb10g004995	synteny	high	0.318766	0	1	1	0	0	functional	functional	functional	functional
Sb10g004980	synteny	high	1	0	1	2	0	1	functional	functional	non	functional
Sb10g004970	synteny	high	1	1	0	2	0	1	non	non	non	functional
Sb10g004975	synteny	high	1	0	0	2	0	1	functional	functional	functional	functional
Sb10g004960	synteny	high	1	1	1	2	0	1	functional	non	functional	functional
Sb10g004940	synteny	high	1	1	1	5	12	1	functional	functional	functional	functional
Sb10g004950	synteny	high	1	1	1	4	8	1	non	non	non	non
Sb10g004930	synteny	high	1	1	1	3	4	1	functional	functional	functional	functional
Sb10g004910	synteny	high	1	1	0	3	3	1	functional	functional	functional	functional
Sb10g004900	synteny	high	1	1	1	5	12	0.930688	functional	functional	functional	functional
Sb10g004890	synteny	high	1	1	1	2	0	1	non	non	non	non
Sb10g004870	synteny	high	1	1	0	3	10	1	non	non	non	non
Sb10g004860	synteny	high	1	1	1	3	1	0.924395	non	non	non	non
Sb10g004840	synteny	high	1	1	0.17	4	12	0.961538	functional	functional	non	functional
Sb10g004830	synteny	high	1	0.43	0	3	2	0.852506	non	non	non	non
Sb10g004810	synteny	high	1	1	1	3	3	0.833529	non	non	non	non
Sb10g004800	synteny	high	1	1	1	4	8	0.875147	functional	functional	functional	functional
Sb10g004793	synteny	high	1	1	1	4	7	1	functional	functional	functional	non
Sb10g004790	synteny	high	1	1	1	5	4	1	non	non	non	non
Sb10g004780	synteny	high	1	1	1	4	8	1	non	non	non	non
Sb10g004750	synteny	high	1	1	0	3	8	1	non	non	non	non
Sb10g004740	synteny	high	1	1	0	5	12	1	functional	functional	functional	functional
Sb10g004730	synteny	high	1	1	1	3	6	1	non	non	non	non
Sb10g004720	synteny	high	1	1	1	5	12	0.928051	functional	functional	functional	functional
Sb10g004710	synteny	high	1	1	1	3	1	1	functional	functional	functional	functional
Sb10g004700	synteny	high	1	1	0	3	9	1	non	non	non	non
Sb10g004685	synteny	high	1	0	0	5	12	1	non	functional	non	non
Sb10g004687	synteny	high	1	1	1	5	12	1	functional	functional	functional	functional
Sb10g004682	synteny	high	1	0	0	5	12	0.755978	non	non	non	non
Sb10g004680	synteny	high	1	0	1	5	12	1	non	non	non	non
Sb10g004580	synteny	high	1	1	1	4	9	1	functional	functional	functional	functional
Sb10g004590	synteny	high	1	1	1	2	0	1	functional	functional	functional	functional
Sb10g004600	synteny	high	1	1	1	3	2	0.961562	functional	functional	functional	functional
Sb10g004570	synteny	high	1	1	1	2	0	1	functional	functional	functional	functional
Sb10g004540	synteny	high	1	1	1	5	12	1	non	non	functional	non
Sb10g004550	synteny	high	1	1	1	5	9	1	functional	functional	functional	functional
Sb10g004535	synteny	high	1	1	1	1	0	1	non	non	functional	non
Sb10g004530	synteny	high	1	1	0	1	0	1	non	non	non	non
Sb10g004520	synteny	high	1	1	0	2	0	1	functional	non	functional	functional
Sb10g004500	synteny	high	1	1	0	4	1	1	functional	functional	functional	functional
Sb10g004490	synteny	high	1	1	1	4	12	1	functional	functional	functional	functional
Sb10g004470	synteny	high	1	1	0	3	3	1	non	non	non	non
Sb10g004460	synteny	high	1	1	1	4	8	1	non	non	non	non
Sb10g004465	synteny	high	1	0	0	5	12	1	functional	functional	functional	functional
Sb10g004450	synteny	high	1	1	1	3	2	0.999731	functional	functional	non	functional
Sb10g004440	synteny	high	1	1	1	4	8	0.999447	functional	functional	functional	functional
Sb10g004420	synteny	high	1	1	1	5	12	1	functional	functional	functional	functional
Sb10g004410	synteny	high	1	1	1	4	7	0.838766	non	non	non	non
Sb10g004405	synteny	high	1	0	1	1	0	0.495798	functional	functional	non	non
Sb10g004407	synteny	high	1	1	1	2	0	0.327869	functional	functional	non	functional
Sb10g004400	synteny	high	1	1	1	5	8	0.965531	non	non	non	non
Sb10g004380	synteny	high	1	1	1	3	8	1	functional	non	functional	functional
Sb10g004390	synteny	high	1	1	1	4	1	1	non	non	non	non
Sb10g004370	synteny	high	0.359655	1	0	1	0	0.309685	non	non	functional	functional
